Products,Size *.odesign,Size *.ecore
product00000,57,13
product00001,59,15
product00002,52,12
product00003,54,14
product00004,59,14
product00005,61,16
product00006,54,13
product00007,56,15
product00008,68,10
product00009,70,12
product00010,63,9
product00011,65,11
product00012,70,11
product00013,72,13
product00014,65,10
product00015,67,12
product00016,73,14
product00017,75,16
product00018,68,13
product00019,70,15
product00020,75,15
product00021,77,17
product00022,70,14
product00023,72,16
product00024,84,11
product00025,86,13
product00026,79,10
product00027,81,12
product00028,86,12
product00029,88,14
product00030,81,11
product00031,83,13
product00032,73,14
product00033,75,16
product00034,68,13
product00035,70,15
product00036,75,15
product00037,77,17
product00038,70,14
product00039,72,16
product00040,84,11
product00041,86,13
product00042,79,10
product00043,81,12
product00044,86,12
product00045,88,14
product00046,81,11
product00047,83,13
product00048,89,15
product00049,91,17
product00050,84,14
product00051,86,16
product00052,91,16
product00053,93,18
product00054,86,15
product00055,88,17
product00056,100,12
product00057,102,14
product00058,95,11
product00059,97,13
product00060,102,13
product00061,104,15
product00062,97,12
product00063,99,14
