Products,Size *.odesign,Size *.ecore
product00000,29,11
product00001,32,11
product00002,29,13
product00003,32,13
product00004,29,12
product00005,32,12
product00006,29,14
product00007,32,14
product00008,29,12
product00009,32,12
product00010,29,14
product00011,32,14
product00012,29,13
product00013,32,13
product00014,29,15
product00015,32,15
product00016,43,13
product00017,46,13
product00018,43,15
product00019,46,15
product00020,43,14
product00021,46,14
product00022,43,16
product00023,46,16
product00024,43,14
product00025,46,14
product00026,43,16
product00027,46,16
product00028,43,15
product00029,46,15
product00030,43,17
product00031,46,17
product00032,50,15
product00033,53,15
product00034,50,17
product00035,53,17
product00036,50,16
product00037,53,16
product00038,50,18
product00039,53,18
product00040,50,16
product00041,53,16
product00042,50,18
product00043,53,18
product00044,50,17
product00045,53,17
product00046,50,19
product00047,53,19
