Products,Size *.odesign,Size *.ecore
product00000,68,12
product00001,72,14
product00002,79,15
product00003,74,14
product00004,78,16
product00005,85,17
product00006,64,12
product00007,68,14
product00008,75,15
product00009,72,14
product00010,76,16
product00011,83,17
product00012,72,13
product00013,76,15
product00014,83,16
product00015,78,15
product00016,82,17
product00017,89,18
product00018,66,13
product00019,70,15
product00020,77,16
product00021,74,15
product00022,78,17
product00023,85,18
product00024,68,13
product00025,72,15
product00026,79,16
product00027,74,15
product00028,78,17
product00029,85,18
product00030,64,13
product00031,68,15
product00032,75,16
product00033,72,15
product00034,76,17
product00035,83,18
product00036,72,14
product00037,76,16
product00038,83,17
product00039,78,16
product00040,82,18
product00041,89,19
product00042,66,14
product00043,70,16
product00044,77,17
product00045,74,16
product00046,78,18
product00047,85,19
product00048,68,13
product00049,72,15
product00050,79,16
product00051,74,15
product00052,78,17
product00053,85,18
product00054,64,13
product00055,68,15
product00056,75,16
product00057,72,15
product00058,76,17
product00059,83,18
product00060,72,14
product00061,76,16
product00062,83,17
product00063,78,16
product00064,82,18
product00065,89,19
product00066,66,14
product00067,70,16
product00068,77,17
product00069,74,16
product00070,78,18
product00071,85,19
product00072,68,14
product00073,72,16
product00074,79,17
product00075,74,16
product00076,78,18
product00077,85,19
product00078,64,14
product00079,68,16
product00080,75,17
product00081,72,16
product00082,76,18
product00083,83,19
product00084,72,15
product00085,76,17
product00086,83,18
product00087,78,17
product00088,82,19
product00089,89,20
product00090,66,15
product00091,70,17
product00092,77,18
product00093,74,17
product00094,78,19
product00095,85,20
